Position	Messung 1
Weg/mm	U/V

-6.999	0.26
-6.997	0.26
-6.996	0.26
-6.995	0.26
-6.993	0.26
-6.991	0.26
-6.990	0.25
-6.989	0.24
-6.987	0.23
-6.985	0.23
-6.984	0.23
-6.983	0.23
-6.981	0.23
-6.979	0.23
-6.978	0.23
-6.977	0.23
-6.975	0.23
-6.973	0.23
-6.972	0.24
-6.970	0.24
-6.969	0.24
-6.968	0.25
-6.966	0.23
-6.964	0.24
-6.963	0.25
-6.962	0.25
-6.960	0.25
-6.958	0.25
-6.957	0.25
-6.956	0.25
-6.954	0.25
-6.952	0.25
-6.951	0.25
-6.950	0.25
-6.948	0.25
-6.946	0.25
-6.945	0.25
-6.944	0.25
-6.942	0.25
-6.940	0.25
-6.939	0.25
-6.938	0.25
-6.936	0.25
-6.935	0.25
-6.933	0.25
-6.931	0.25
-6.930	0.25
-6.929	0.26
-6.927	0.25
-6.925	0.25
-6.924	0.25
-6.923	0.25
-6.921	0.25
-6.919	0.26
-6.918	0.26
-6.917	0.26
-6.915	0.26
-6.913	0.26
-6.912	0.26
-6.911	0.26
-6.909	0.26
-6.907	0.26
-6.906	0.26
-6.905	0.26
-6.903	0.26
-6.902	0.26
-6.900	0.26
-6.898	0.26
-6.897	0.26
-6.896	0.26
-6.894	0.26
-6.892	0.26
-6.891	0.26
-6.890	0.26
-6.888	0.26
-6.886	0.26
-6.885	0.26
-6.884	0.26
-6.882	0.26
-6.880	0.26
-6.879	0.26
-6.878	0.26
-6.876	0.26
-6.874	0.26
-6.873	0.26
-6.872	0.25
-6.870	0.26
-6.869	0.25
-6.867	0.26
-6.865	0.26
-6.864	0.26
-6.863	0.26
-6.861	0.26
-6.859	0.27
-6.858	0.25
-6.857	0.26
-6.855	0.26
-6.853	0.26
-6.852	0.26
-6.851	0.26
-6.849	0.27
-6.847	0.26
-6.846	0.27
-6.845	0.27
-6.843	0.27
-6.841	0.27
-6.840	0.27
-6.839	0.27
-6.837	0.27
-6.835	0.27
-6.834	0.27
-6.832	0.27
-6.831	0.27
-6.830	0.28
-6.828	0.28
-6.826	0.28
-6.825	0.28
-6.824	0.28
-6.822	0.28
-6.820	0.29
-6.819	0.29
-6.818	0.29
-6.816	0.29
-6.814	0.28
-6.813	0.29
-6.812	0.29
-6.810	0.29
-6.808	0.29
-6.807	0.29
-6.806	0.29
-6.804	0.30
-6.802	0.29
-6.801	0.30
-6.799	0.29
-6.798	0.29
-6.797	0.29
-6.795	0.29
-6.793	0.29
-6.792	0.29
-6.791	0.29
-6.789	0.29
-6.787	0.29
-6.786	0.29
-6.785	0.29
-6.783	0.29
-6.781	0.28
-6.780	0.28
-6.779	0.28
-6.777	0.28
-6.775	0.29
-6.774	0.28
-6.773	0.29
-6.771	0.29
-6.769	0.29
-6.768	0.29
-6.766	0.29
-6.765	0.28
-6.764	0.29
-6.762	0.29
-6.760	0.29
-6.759	0.29
-6.758	0.29
-6.756	0.29
-6.754	0.28
-6.753	0.28
-6.752	0.28
-6.750	0.28
-6.748	0.28
-6.747	0.28
-6.746	0.28
-6.744	0.28
-6.742	0.28
-6.741	0.28
-6.740	0.28
-6.738	0.28
-6.736	0.28
-6.735	0.28
-6.734	0.28
-6.732	0.28
-6.731	0.28
-6.729	0.28
-6.727	0.28
-6.726	0.28
-6.725	0.28
-6.723	0.28
-6.721	0.28
-6.720	0.28
-6.719	0.29
-6.717	0.29
-6.715	0.28
-6.714	0.28
-6.713	0.29
-6.711	0.29
-6.709	0.29
-6.708	0.29
-6.707	0.28
-6.705	0.28
-6.703	0.29
